term,pos,notes,is_case_sensitive,translation_nl
No U-Turn Sign,verb,A traffic sign indicating that making a U-turn at that location is not allowed.,FALSE,Geen U-bocht bord
Nominal Usage,verb,"Refers to a small or minimal amount of battery consumption, even when the app is running in the background.",FALSE,Nominaal gebruik
Non-Confrontational Approach,verb,"A method of addressing issues or improving performance without causing conflict, focusing on communication and support rather than punishment.",FALSE,Niet-confrontationele aanpak
Non-Designated Area,verb,A place not officially marked or approved for parking vehicles.,FALSE,Niet-aangewezen gebied
Non-functional,verb,Devices still installed in vehicles despite being non-functional. They must be uninstalled and returned to Netradyne for replacement.,FALSE,
Normal Braking,verb,,FALSE,Normaal remmen
Notes,verb,"Custom user-added information about the device, accessory, or vehicle to share with other users.",FALSE,
Notification,verb,An alert sent to the driver via the Driverâ€šÃ„Â¢i App to inform them of a new weekly review session or pending tasks.,FALSE,
Notification Percentage,noun,The proportion of drivers notified about risky driving behaviors during a selected period.,FALSE,Meldingspercentage
Notification Preference,verb,Feature that allows users to select how and when they want to be notified when various events occur within a time period.,FALSE,Meldingsvoorkeuren
Notification Preferences,noun,Settings to customize how and when notifications are received.,FALSE,Meldingsvoorkeuren
Nov,verb,Month,FALSE,Nov
Obstructed,verb,Indicates that the camera was obstructed for the specified duration.,FALSE,Obstructie
Oct,verb,Month,FALSE,Okt
One-Minute Video,verb,A short video captured and uploaded to the portal whenever the alert button is pressed.,FALSE,video van Ã©Ã©n minuut
Online Help,verb,,FALSE,Online hulp
Open Settings,verb,A command that takes you to your phoneâ€šÃ„Ã´s settings to adjust permissions for the app.,FALSE,Instellingen openen
Optimal Conditions,verb,Driving without any major incidents or risky behaviors.,FALSE,Optimale omstandigheden
Optimizing Driving Performance,verb,"Improving the way drivers operate vehicles, making them safer and more efficient.",FALSE,Rijprestaties optimaliseren
Orderly Conduct,noun,Following rules and behaving in a way that maintains safety and structure on the road.,FALSE,Ordelijk gedrag
OS Version,verb,"The version of the operating system (iOS, Android, etc.) running on the phone, which can impact the app's performance and battery consumptio",FALSE,OS versie
Other Vehicle Cut In Front Alert,verb,"An alert triggered when another vehicle suddenly cuts into the driverâ€šÃ„Ã´s lane, causing the driver to brake hard.",FALSE,Ander voertuig snijdt voor alarm
Out of Warranty,verb,"A status indicating that a device is no longer covered by its warranty, meaning the manufacturer will not replace or repair it for free.",TRUE,Buiten Garantie
Outward Blurring,verb,Put definition,FALSE,
Outward Camera View,verb,"The video footage from the camera facing outside the vehicle, capturing road conditions and surroundings.",FALSE,Uitzicht naar buiten camera
Outward View,verb,A video perspective showing the road and surroundings during a driving-related alert.,FALSE,Uitzicht naar buiten
Over Speeding %,verb,Over Speeding Percentage (%) is the percentage of the total amount of time for which alert(s) were generated divided by total drive time.,FALSE,% Snelheidsovertredingen
Overspeeding Alert,noun,"Generated when the vehicle is speeding beyond the specified speed limits. The speed limit of the road can be fetched from multiple sources, such as third-party service providers, speed limit signs, and Netradyne speed limit database.",TRUE,Waarschuwing Snelheidsoverschrijding
Parked,verb,"Helps optimize vehicle usage, reduce fuel consumption, and minimize idle time, which can lead to significant cost savings.",FALSE,
Driving Time,noun,,FALSE,
Partially Viewed,verb,"Watching only part of an alert video, not completing it.",FALSE,Gedeeltelijk bekeken
Passenger Side Button Alert,noun,An alert triggered by a passenger pressing the alert button on the Driverâ€šÃ„Â¢i device.,FALSE,Knopwaarschuwing passagierszijde
Passenger Sliding,verb,The movement of unsecured passengers in a vehicle due to sudden braking or high G-forces.,FALSE,Bijrijder Verschuift
Passenger-Carrying Vehicle,verb,"A vehicle that transports people, such as buses or taxicabs.",FALSE,Voertuig voor bijrijdersvervoer
Password,verb,"A secure code used by drivers to access the app, either set by themselves or provided by the manager.",FALSE,
Password Management,verb,"The process of creating, storing, and resetting passwords to access secure systems.",FALSE,
Password Policy,noun,"Rules for creating strong passwords, such as length and character requirements.",FALSE,
Peak Times,verb,Specific times when certain types of events or alerts occur more frequently.,FALSE,
Penalties,verb,"Consequences for not following traffic laws, such as fines or losing a driverâ€šÃ„Ã´s license.",FALSE,
Pending Coaching,verb,Indicates that the coaching session for the alert is still in progress and has not been completed yet.,TRUE,In Afwachting van Coaching
Pending Installation Devices,verb,Devices received by the Fleet from Netradyne that are yet to be installed in the vehicles.,FALSE,In afwachting van installatieapparaten
Pending Session,verb,"A coaching session that has not yet been completed by the driver, marked as incomplete in the system.",FALSE,Lopende sessie
Pending Tab,verb,A section on the Driver Disputes page showing disputes that are still being evaluated.,FALSE,Tabblad In afwachting van
Performance Evaluation,verb,The process of reviewing a driverâ€šÃ„Ã´s driving record and improvement.,FALSE,Beoordelingsevaluatie
Periodic Wakeup,noun,"A signal sent by a device at regular intervals, indicating the device is still operational, but may not be receiving regular driving data.",FALSE,Periodiek ontwaken
Permissible Area,verb,"A location where certain actions, like a U-turn, are allowed because it is safe and does not disrupt traffic.",FALSE,Toegestaan gebied
Personal Conveyance,verb,"Refers to a vehicle's use for personal, non-work-related travel, which may or may not be allowed depending on the driver's status.",FALSE,Persoonlijk vervoer
Pilot Alerts,noun,Alerts that do not have the right precision and hence are not made customer visible.,FALSE,Proef Waarschuwingen
Placarded Hazmat,verb,Hazardous materials transported in quantities large enough to require warning labels or signs on the vehicle.,FALSE,Gevaarlijk geparkeerd
Placeholder Vehicle,verb,Vehicles with devices that responded in the last 30 days but were not associated with the vehicle at that time in the Portal.,FALSE,Tijdelijk Voertuig
Play Event Video,verb,"An option to watch the video recorded during an event, showing different camera views.",FALSE,Video afspelen
Plot Score Option,verb,A setting on the score chart to display the Projected Score as a dotted line for easy comparison with actual scores.,FALSE,Ingeschatte Score optie
Point of Impact,noun,"The part of the vehicle that was hit during the collision (e.g., front, back, left side).",FALSE,Inslagpunt
Polygon Geofence,verb,A geofence defined by multiple connected latitude and longitude points forming a closed shape.,FALSE,Polygoon Geofence
Poor Performance,noun,The minimum GreenZone Score required to avoid being rated as a poor performer.,TRUE,Slechte Prestaties
Pop-up Message,noun,"A brief notification that appears on the screen to confirm an action or provide information, like confirming that the video request was successfully sent.",FALSE,Pop-upbericht
Positive Driving Behavior,verb,Safe or commendable driving actions identified by the Driverâ€šÃ„Â¢iÂ¬Ã† device.,FALSE,Positief rijgedrag
Positive Driving:,verb,Lists the count of DriverStars awarded to drivers.,FALSE,Positief rijden:
Positive Events,verb,See DriverStars.,FALSE,Positieve gebeurtenissen
Posted Speed Limit,verb,The maximum allowed driving speed displayed on road signs.,TRUE,OfficiÃ«le Snelheidslimiet
Potential Collision,noun,A situation where a crash might occur if no corrective action is taken.,TRUE,PotentiÃ«le Botsing
Potential GreenZone Score,noun,The possible or projected GreenZone Score that can be scored by drivers if they had avoided the alerts generated by them.,TRUE,PotentiÃ«le GreenZone-Score
Potential-Collision,verb,,TRUE,PotentiÃ«le Botsing
Potentially Dangerous Situations,verb,Unsafe driving conditions or habits that could lead to accidents or violations.,TRUE,Potentieel Gevaarlijke Situaties
Pre-defined Features List,verb,"A list of features already specified in the system, from which users can select to report issues or suggest improvements.",FALSE,Lijst met vooraf gedefinieerde functies
Pre-paid Return Label,verb,"A return label that is provided by the Driver.i team for sending back the faulty device, with no cost to the customer.",FALSE,Vooraf betaald retouretiket
Preset Filters,verb,Predefined conditions used to display only relevant data when navigating through the dashboard.,FALSE,Vooraf ingestelde filters
Prev,verb,,FALSE,Prev
Previous Minute,verb,A feature that lets users view video footage of the minute before or after an alert occurred.,FALSE,vorige minuut
Next Minute,noun,,FALSE,volgende minuut
Primary Video,verb,"A standard definition video from a single camera angle, relevant to the alert, such as from the front or back of the vehicle.",FALSE,Primaire video
Print and Download,verb,Options to save or print the chart in different image formats.,FALSE,Print en Downloaden
Privacy,verb,Conducting coaching in a confidential environment to respect the driver's privacy.,FALSE,Privacy
Privacy Icon,verb,An icon shown on the app video indicating that Privacy Mode is active and no inward recording is happening.,FALSE,Privacy Pictogram
Privacy Mode,verb,Mode in which the inward video files (if an inward recording is enabled) will not be stored in the device. The video file cannot be retrieved.,FALSE,Privacymodus
Proactive Driver Actions,verb,"Actions taken by drivers to prevent unsafe situations, like slowing down or adjusting their position to avoid accidents.",TRUE,Proactieve Bestuurdersacties
Proactive Measures,verb,Steps taken in advance to prevent parking-related hazards in the future.,FALSE,Proactieve maatregelen
Problem Spot,verb,A location where multiple alerts or incidents frequently occur.,FALSE,Probleemgebied
Projected Score,verb,Projected Score indicates the score the driver could have obtained if the High Impact Alerts were not generated.,FALSE,Verwachte score
Provisioning,verb,Setting up or enabling a feature in a system.,FALSE,Bevoorrading
Provisioning & Configurations,verb,A section in the Fleet Admin Dashboard for managing and monitoring Driver.i devices to ensure optimal functionality and fleet health.,FALSE,Bevoorrading & Configuraties
Proximity,verb,"The closeness of one vehicle to another, affecting the following distance.",FALSE,nabijheid
Quarter,noun,,FALSE,kwartaal
Quaterly,noun,,FALSE,elk kwartaal
Radius,verb,The distance from the center to the edge of a circular geofence.,FALSE,straal
Railroad Crossing,verb,Generated if the driver did not stop at the railroad crossing sign and kept driving at a speed greater than 7mph or rolled through at a slower speed.,FALSE,spoorwegovergang
Railroad Crossing Alert,verb,A warning when the vehicle doesnâ€šÃ„Ã´t slow down or stop at railway crossings.,FALSE,Spoorwegovergangswaarschuwing
Railroad-Crossing,verb,,FALSE,spoorwegovergang
Rank of the Driver,verb,"The position of a driver in comparison to others, often based on their performance, such as GreenZone Score and other factors.",FALSE,rang van de bestuurder
Reaction Delay,noun,"The delay in response time when a driver is distracted, making it more likely to miss potential hazards.",FALSE,reactievertraging
Reaction Time,verb,"The time it takes for a driver to respond to a situation, which slows down with distractions.",FALSE,reactietijd
Real-time Access,verb,Allows for real-time decisions to improve overall driver score and driver ranking.,FALSE,real-time toegang
Real-Time Alerts,noun,"Immediate notifications sent as soon as a driving event happens, allowing for quick action or attention.",FALSE,waarschuwingen in real-time
Real-Time Feedback,verb,"Instant feedback given to the driver during the trip, shown in the video annotations.",FALSE,feedback in real-time
Real-Time Information,verb,Data provided instantly to allow quick decisions or actions.,FALSE,real-time informatie
Rear-End Collisions,noun,Accidents that occur when a vehicle following behind cannot stop in time and crashes into the vehicle ahead.,FALSE,aanrijdingen van achteren
Rear-view Mirrors,verb,Mirrors inside the car used to see the area behind the vehicle.,TRUE,Achteruitkijkspiegels
Reason for Request,verb,The justification or explanation provided by the user for requesting a specific video.,TRUE,Reden voor Aanvraag
Reassign Drive Time,verb,The process of correcting driver information for a specific alert.,TRUE,Rijtijd Opnieuw Toewijzen
Reassigned Drive Time,verb,"A situation where driving hours are attributed to a different driver, which does not affect previously created virtual coaching sessions.",FALSE,opnieuw toegewezen rijtijd
Recognition Culture,verb,A workplace environment that emphasizes acknowledging and rewarding positive actions.,FALSE,cultuur van erkenning
Recognition Percentage,verb,The proportion of drivers recognized for safe driving behavior during a selected period. Recognition occurs when daily scores exceed a set threshold.,FALSE,erkenningspercentage
Recognition Program,verb,An initiative to reward high-performing drivers based on performance data from the GreenZone.,FALSE,Erkenningsprogramma
Recommended Coaching,verb,"A feature that automatically assigns coaching sessions based on the driverâ€šÃ„Ã´s driving behavior, simplifying the coaching process.",TRUE,Aanbevolen Coaching
Recommended Coaching Sessions,verb,Suggested training sessions for drivers based on their driving behavior to improve safety and performance.,TRUE,Aanbevolen Coachingsessies
Red - Minor Alert,noun,An alert triggered when the light turns red after the vehicle has already entered the intersection.,FALSE,Rood - Lichte waarschuwing
Red Zone,verb,A severe-risk situation where the Following Distance is 0.6 seconds or less for 10 seconds.,FALSE,Rode zone
Refresh,verb,,FALSE,Vernieuwen
Refresh the Screen,verb,Swipe down to update the data on the screen.,FALSE,Het scherm verversen
Registered Email Address,verb,"The email linked to your account, used for communications like password reset links.",FALSE,Geregistreerd e-mailadres
Registered E-mail ID,verb,The email address linked to the user account for receiving notifications and reports.,FALSE,Geregistreerd e-mail-ID
Reject Alert,noun,An option to remove an incorrectly triggered or irrelevant alert so it doesnâ€šÃ„Ã´t affect driver or fleet metrics.,FALSE,Waarschuwing afwijzen
Reject Event,verb,"An action to dismiss an alert, convert it to neutral, or change it to a DriverStar.",FALSE,Gebeurtenis afwijzen
Rejected Alerts Report,noun,A report that summarizes the alerts rejected by the Fleet for the selected duration.,FALSE,Afgewezen waarschuwingen Rapport
Relative Speeding,verb,"The vehicle's speed compared to other vehicles on the road, used for internal tracking but does not affect app features.",FALSE,Relatieve snelheid
Relative Speeding (REL),verb,Relative Speeding indicates the average relative speed of the vehicle with respect to other vehicles. This data is used for internal logging purposes and does not impact any of the Driveri features.,FALSE,Relatieve snelheidsoverschrijding (REL)
Relative-Speeding,verb,,FALSE,Relatieve snelheid
Remote Coaching,verb,Utilizes the Driverâ€šÃ„Â¢i App to share performance information with drivers.,FALSE,Coaching op afstand
Repercussions,verb,"Negative results or outcomes from an action, such as penalties for violating traffic rules.",FALSE,Gevolgen
Replacement Device Process,verb,"The procedure for sending a new device to replace the faulty one, including installation and vehicle-device association steps.",FALSE,Proces voor vervangend apparaat
Report a Bug,verb,An option to inform the app team about errors or problems in the app.,FALSE,Een Bug Melden
Report Criteria,verb,Conditions or filters applied to generate specific driver reports.,FALSE,rapportcriteria
Report generated for,verb,,FALSE,rapport gegenereerd voor
Report generated on,verb,,FALSE,rapport gegenereerd op
Reports Central,verb,,FALSE,Rapportencentrale
Request Driver Report,verb,Feature that allows the user to request a customized driver report based on specific criteria.,FALSE,Bestuurdersrapport Aanvragen
Request Full Video,verb,An option to retrieve the complete video footage of an incident.,FALSE,Volledige Video Aanvragen
Request Id,verb,,FALSE,Aanvraag-id
Request Video,verb,"The action of asking for a video to be made available for viewing, especially when it's marked as ""Available on Request.""",TRUE,Video Aanvragen
Requested Driver Reports,noun,"A section that displays the status of all requested driver reports, including pending and ready-to-download reports.",TRUE,Aangevraagde Bestuurdersrapporten
Requested Video,verb,A recorded video requested for review of a driving incident.,TRUE,Videoaanvragen
Requested-Video,verb,,FALSE,Aangevraagd-Video
Rerouting,verb,Changing the planned path of a vehicle to avoid problem areas.,FALSE,Omleiding
Reset Chart,verb,A feature to revert the Driver Score Chart to its original view.,FALSE,Reset grafiek
Reset Filter,verb,A button to remove all changes and go back to the default filter settings.,TRUE,Filter Resetten
Reset Password,noun,The process of creating a new password when you forget the old one.,TRUE,Wachtwoord Opnieuw Instellen
Resolve Issue,verb,The action taken to mark an issue as resolved once it has been addressed.,FALSE,
Response Time,verb,The time taken to react to an incident or alert.,FALSE,
Restricted Hours Driving Report,verb,A report that depicts the total number of minutes of vehicle movement in restricted hours. It summarizes off-time vehicle movement.,FALSE,Rijverslag beperkte uren
Return Confirmed,verb,A status indicating that the customer has confirmed they have returned the defective device.,FALSE,Retourzending Bevestigd
Reversing Camera,verb,A camera at the back of the vehicle that shows whatâ€šÃ„Ã´s behind on a screen inside the car.,FALSE,Omkeren camera
Right Alert,verb,Generated when a vehicle makes a sharp right turn that exceeds the set threshold.,FALSE,Waarschuwing rechts
Risk Assessment Chart,verb,"A chart that categorizes alerts based on their cause, like third-party incidents or others.",FALSE,Risicobeoordelingstabel
Risk Level,verb,"The intensity of an alert, classified as either moderate or severe.",FALSE,Risiconiveau
Risk Profile,verb,"Lists the various alerts generated within the Fleet, classifying them based on their severity and potential impact on safety and operations.",FALSE,Risicoprofiel
Risk Profiles,verb,Assessments of how likely a driver or fleet is to encounter safety incidents based on behavior.,FALSE,Risicoprofielen
Risk Type,verb,"The category of risk associated with the driving alert, such as speeding or harsh braking.",FALSE,Risicotype
RMA Address Form,verb,A form used to provide the address for the return label or replacement device shipment.,FALSE,RMA-adresformulier
RMA Initiated,verb,A notification about starting a Return Merchandise Authorization (RMA) process for a device.,FALSE,RMA geÃ¯nitieerd
Roadside Parking,verb,"Parking a vehicle on the side of the road, often due to lack of space at rest stops or truck areas.",TRUE,Parkeren Langs de Weg
Roadside Parking Alert,verb,A warning triggered when a vehicle is parked in a risky or non-designated spot on the roadside.,TRUE,Waarschuwing voor Parkeren Langs de Weg
Rolling Stop,verb,Slowing down the vehicle but not stopping completely.,TRUE,Rollende Stop
Rollovers,verb,"When a vehicle tips over onto its side or roof, often caused by sudden sharp turns at high speeds.",FALSE,Rollovers
Rough Road Alert,noun,A warning for driving fast over uneven roads or potholes.,TRUE,Waarschuwing voor Ruwe Weg
Rough Roads,verb,"Roads that may cause uneven driving conditions, leading to alerts for low impact due to bumps or irregular surfaces.",FALSE,
Route Planning,verb,Creating an efficient path for vehicles to travel.,FALSE,
Ruleset,verb,"A set of regulations regarding hours of service (H.O.S.) that must be followed by drivers, based on the selection in the system.",FALSE,Regelset
Safe Speeding Streak,noun,"A streak achieved by maintaining safe speeds over time, currently not affecting the GreenZone score.",FALSE,
Safety Buffer,verb,"The space a driver creates between their vehicle and others to avoid accidents, especially when another vehicle is merging or parked on the shoulder.",FALSE,Veiligheidsbuffer
Safety Devices,noun,Equipment like safety triangles or flares used to warn other drivers about a stationary vehicle.,FALSE,Veiligheidsvoorzieningen
Safety Improvements,verb,"Analyzing data from different Groups can reveal safety trends or issues, enabling Safety Managers to address them and improve the overall safety within the Fleet.",FALSE,Veiligheidsverbeteringen
Safety Manager,noun,The person responsible for monitoring and improving driver safety and performance.,TRUE,Veiligheidsmanager
Safety Manager Initiated DriverStar,noun,"A DriverStar awarded by a Safety or Fleet Manager when they convert a hard-to-interpret alert (such as hard braking) into a positive acknowledgment, recognizing that the action was made to avoid danger.",FALSE,DriverStar geÃ¯nitieerd door veiligheidsmanager
Safety-Focused Culture,verb,An environment where safe driving habits are encouraged and rewarded.,FALSE,Veiligheidsgerichte cultuur
Sat,noun,Week,FALSE,Zat
Score Chart,verb,"Visual representations of GreenZone Scores over time (daily, weekly, or monthly).",FALSE,Scoretabel
Score Trend,verb,"A graphical or numerical representation of a driver's performance over time, showing improvements or declines in key metrics.",FALSE,Score Trend
Search Field,verb,A text box used to find specific geofences by name.,FALSE,
Seat Belt Compliance,noun,Generated when the driver does not wear the seat belt at the starting of the trip.,TRUE,Naleving Veiligheidsgordel
Seatbelt Non-Compliance,noun,When a driver or passenger doesnâ€šÃ„Ã´t wear a seatbelt while the vehicle is in motion.,TRUE,Niet-Naleving Veiligheidsgordel
Seatbelt-Compilance,noun,,FALSE,Naleving Veiligheidsgordel
Second||second,noun,Time,FALSE,
Seconds||seconds,verb,Time,FALSE,
Security Threat,verb,"Any potential danger, such as robbery or suspicious activity, that risks the safety of the driver or vehicle.",FALSE,Veiligheidsbedreiging
Seek Bar,verb,A control to fast forward or rewind video playback.,FALSE,Zoekbalk
Select Drivers,verb,A field allowing managers to pick specific drivers for whom automated coaching sessions will or wonâ€šÃ„Ã´t be created.,TRUE,Selecteer Bestuurders
Self-Coaching,verb,"A feature that allows drivers to review and address alerts on their own, without requiring direct intervention from safety managers.",TRUE,Zelfcoaching
Sensitivity Setting,verb,A feature to adjust how early or frequently collision alerts are given to drivers.,FALSE,Gevoeligheidsinstelling
Sep,noun,,FALSE,Sep
Separation by Slowing Down,verb,Acknowledgment given when a driver creates a safe distance by reducing speed.,FALSE,Scheiding door vertragen
Separation Distance,verb,The safe distance maintained between vehicles to prevent accidents.,FALSE,Scheidingsafstand
Sequence of Events,noun,"The order in which things happen, useful for identifying patterns or trends over time.",FALSE,Opeenvolging van gebeurtenissen
Session,verb,A specific time period dedicated to coaching and discussing feedback with a driver.,FALSE,
Session Discussion,verb,A documented summary of the coaching session used to guide and review discussions.,TRUE,Sessiebespreking
Session ID,verb,A unique number assigned to each coaching session.,FALSE,sessie-id
Session Notifications,verb,"Drivers are notified via the Driverâ€šÃ„Â¢i app about the weekly review session, which they must complete within a week.",FALSE,sessiemeldingen
Session Time out,verb,,FALSE,Sessie Time-out
Settings Screen,verb,A part of the app where you can adjust permissions and preferences.,FALSE,Scherminstellingen
Severe,adjective,,TRUE,Ernstig
Severe Alert,verb,Alerts that are configured to trigger when the driver exceeds the alert threshold by a large (severe) margin.,TRUE,Ernstige Waarschuwing
Severe Alerts (Managed Coached and Virtual Coached),verb,This KPI breaks down the total Severe Alerts into those that have been addressed through Managed Coaching and Virtual Coaching.,FALSE,Ernstige waarschuwingen (Beheerde coaching en Virtuele coaching)
Severe Backing Alert,noun,A warning when reversing at more than 10 mph for over 3 seconds.,FALSE,Ernstige Achteruitrijwaarschuwing
Severe Camera Obstruction Duration Report,verb,"Severe Camera Obstruction Duration Report offers valuable insights into camera-related issues, helping Fleet Managers maintain the highest safety and operational standards.",FALSE,Rapport Duur Ernstige Cameraobstructie
Severe Potential Impact,verb,A collision event detected with a G-force greater than 3.00G.,FALSE,Ernstige potentiÃ«le impact
Severe Risk,verb,A classification of alerts indicating a high level of risk due to serious driving behavior issues.,TRUE,Ernstig Risico
Severity,noun,"The level of seriousness of a driver alert (e.g., mild, moderate, or severe).",TRUE,Ernst
Severity Margin,noun,Value that enables the system to decide if an alert is Severe or Moderate.,TRUE,Ernstmarge
Shape,verb,The geometric outline (like a circle or polygon) of the geofence area.,FALSE,Vorm
Share Link,verb,A feature to share alert videos as a link for others to view.,TRUE,Link Delen
Share with Driver,verb,An option to share alert videos directly with drivers via their Driver-i app account.,FALSE,Met bestuurder delen
Shared Events Screen,verb,"A screen showing all recorded driving events (Neutral Events, Alerts, and DriverStars).",FALSE,Scherm voor gedeelde gebeurtenissen
Shipment Tracking,verb,A process of tracking the return shipment of a faulty device and the replacement shipment.,FALSE,Verzending traceren
Show GreenZone Scores,verb,,FALSE,Toon GreenZone-Scores
Show Unread Only,verb,An option to display only unread notifications.,FALSE,Alleen ongelezen tonen
Show/Hide Icon,verb,A button to toggle visibility of the entered password on the login screen.,FALSE,Pictogram weergeven/verbergen
Side Mirrors,verb,Mirrors on the outside of the car to see the sides and blind spots.,FALSE,Zijspiegels
Sign Violation,verb,Ignoring traffic signs such as stop signs or yield signs.,FALSE,Verkeersbordovertreding
Sign Violations||SIGN VIOLATIONS||SIGN-VIOLATION||Sign-Violations||Sign-Violation,noun,,FALSE,Verkeersbordovertredingen
Sign/Signal Violations,verb,,FALSE,Verkeersbordovertredingen/signalen
Sign/Signal Violations Alerts,verb,"Alerts generated when a driver violates traffic signs or signals, impacting safety",FALSE,Waarschuwingen voor Verkeersbordovertredingen/signalen
Sign-Violations,verb,,FALSE,Verkeersbordovertredingen
SIM Card Deactivation,verb,The process where the SIM card in the faulty device will no longer function 30 days after the RMA request is received.,FALSE,SIM-kaart deactiveren
Single Video,noun,A video with one camera view shared individually.,FALSE,Enkele video
Site Tour,noun,,FALSE,Rondleiding
Sitting-Duck,verb,,FALSE,Schietschijf
Situational Awareness,noun,"Being aware of what is happening around you while driving, which is reduced when distracted.",TRUE,Situatiebewustzijn
Skidding,noun,"Losing control of the vehicle's movement, often due to sudden turns or slippery road conditions.",FALSE,Slippen
Skip,verb,"The option to avoid filling out the feedback survey. If skipped once, it prompts again after 24 hours.",FALSE,Overslaan
Smoking,noun,,FALSE,Roken
Sort By Date,verb,"An option to organize events in order of time, from earliest to latest or vice versa.",FALSE,Sorteren op datum
Spare,verb,Devices that are with the customer but for which SIM is not activated.,FALSE,Reserve
Speed Bump Alert,verb,An alert triggered when a vehicle passes over a speed bump too quickly without slowing down.,FALSE,Verkeersdrempel waarschuwing
Speed Bumps,verb,"Raised sections of a road designed to slow down traffic, which can sometimes trigger low impact alerts.",FALSE,verkeersdrempels
Speeding,verb,"The act of driving above the posted speed limit, which can trigger alerts indicating potential danger.",TRUE,Snelheidsovertreding
Speeding Violations,noun,Driving above the speed limit specified by the fleet for a prolonged time.,TRUE,Snelheidsovertredingen
Speeding--Following-Distance,verb,,FALSE,Te snel rijden - Volgafstand
Speeding--Hard-Brake,noun,,FALSE,Te hard rijden - Hard remmen
Speeding--Hard-Turn,verb,,FALSE,Te snel rijden - Scherpe Bocht
Speeding--Traffic-Light,verb,,FALSE,Te snel rijden - verkeerslicht
Speeding-Violations,verb,,FALSE,Snelheidsovertredingen
Speeding--Weaving,verb,,FALSE,Te hard rijden - Ritsen
Spikes (Graph),verb,Sudden upward or downward movements in the yellow trace graph indicating sharp left or right turns.,FALSE,Pieken (grafiek)
Spot Speeding,verb,Driving faster than the posted speed limit in a specific location.,FALSE,Snelheidsovertredingen
Start and End Dates of the Trip,verb,Helps monitor trip duration and identify any deviations from the planned schedule.,FALSE,Begin- en einddatum van de reis
Start Driving Session,verb,A feature in the app that the driver taps when they begin a trip to mark the start of their driving session.,FALSE,Start rij sessie
State,verb,The state where the geofence is located.,FALSE,
Stationary Period,verb,The duration for which a vehicle remains stopped or parked in one place.,FALSE,stilstandtijd
Status,verb,"The outcome of a dispute review, which can be Accepted, Denied, Pending, or In Review.",FALSE,
Stitch ID,verb,,FALSE,Samenvoeg id
Stitch Video,verb,"Combining multiple camera views into a single, continuous video.",FALSE,Video samenvoegen
Stitch Videos,verb,,FALSE,Video's samenvoegen
Stitched Video Tab,verb,A section in the portal where stitched videos are stored and available for download or sharing.,FALSE,Tabblad Samengevoegde Video
Stop Sign Alerts,noun,Alerts triggered when a driver fails to stop at a stop sign or does not follow the proper procedure,FALSE,Waarschuwingen stopborden
Stop Sign Compliance,verb,Adhering to the rule of coming to a full stop at stop signs.,FALSE,Naleving stopborden
Stop Sign Streak,noun,Successfully stopping at all stop signs over a period without violations.,FALSE,Stopbord reeks
Stop Sign Streak Completed,verb,A recognition given to drivers who stop at 75 stop signs consecutively without missing any.,FALSE,Stopbord reeks Voltooid
Stop Sign Violations||STOP SIGN VIOLATIONS||STOP SIGN VIOLATION||Stop Sign Violation||Stop Sign-Violation,noun,When drivers fail to completely stop at a stop sign.,TRUE,Overtredingen stopborden
Stopped/Parked Location,verb,Helps ensure drivers adhere to designated parking areas and identify potential unauthorized stops or deviations from the planned route.,FALSE,Gestopt/geparkeerd
Street & Number,noun,The specific address or location within the geofence.,FALSE,Straat & nummer
Submit Feedback,verb,The action of entering answers to survey questions and sending them for review.,TRUE,Feedback Indienen
Submit Request,verb,The action of sending a request to retrieve a specific video.,TRUE,Aanvraag Indienen
Submit Review,verb,"A button used by managers to give feedback on an alert, deciding if itâ€šÃ„Ã´s valid or invalid.",TRUE,Beoordeling Indienen
Subscribe to a Report,verb,The option to receive the report on a recurring basis (weekly or monthly) via email.,FALSE,Abonneren op een rapport
Suggestion/Other,verb,Feedback option to share ideas for improvements or new features related to alerts.,FALSE,Suggestie/Ander
Sun,noun,Weekly,FALSE,Zon
Support Team,verb,The team you can contact for help with special requirements or permissions for audio recording.,FALSE,Ondersteuningsteam
Support/Feedback,verb,,FALSE,Ondersteuning/Feedback
Suppress Alerts,noun,Stop specific notifications from being sent in designated areas.,FALSE,Waarschuwingen onderdrukken
Surveillance and Security,verb,Monitoring recorded footage to maintain safety and review incidents like accidents.,FALSE,Bewaking en beveiliging
Survey Display,noun,"The appearance of the survey feedback on the screen after logging in, typically after 10 seconds.",FALSE,EnquÃªte weergave
Survey Feedback Prompt,verb,A notification that encourages users to submit their feedback about the app.,FALSE,Feedback enquÃªte simuleren
Survey Feedback,verb,"A method to gather user opinions and experiences about the app, which helps to improve the app over time.",FALSE,Feedback enquÃªte
Swerve,noun,,FALSE,Uitwijken
System Recommendations,verb,Suggested coaching sessions based on a driverâ€šÃ„Ã´s behavior and alert history.,FALSE,Aanbevelingen voor het systeem
Tailgating,verb,"Driving too closely behind another vehicle, reducing reaction time to sudden stops or changes.",FALSE,Bumperkleven
Talking on Phone,verb,A distraction caused when a driver holds a phone to their ear while driving.,FALSE,Telefoneren
Tangible Example,verb,"A real-life instance, like a video, showing good driving behavior for learning purposes.",FALSE,Tastbaar voorbeeld
Targeted Changes,verb,Specific updates made to a driver's details without affecting other records.,FALSE,Gerichte veranderingen
Targeted Coaching,verb,Specific training to help a driver improve areas of weakness and reach their potential score.,TRUE,Gerichte Coaching
